"","Rank","Name","Tuition.and.fees.x","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn"
"111",111,"Michigan Technological University","$30,968 ","Houghton","MI","49931-1295","www.mtu.edu","47.11866","-88.548092","0.7644",1,"33","1242",26587,"0","1","0","1","0","1","1","1","1","1","1","1","$30,968 ","56800"
"112",112,"Seton Hall University","$39,258 ","South Orange","NJ","07079-2697","www.shu.edu/","40.742336","-74.246027","0.669",2,"21","1156",51395,"0","1","0","1","1","0","1","1","1","1","2","1","$39,258 ","53400"
"113",113,"Temple University","$25,994 ","Philadelphia","PA","19122-6096","www.temple.edu","39.980546","-75.156859","0.5219",1,"11","NULL",30166,"1","1","1","1","1","1","1","1","1","1","2","1","$25,994 ","49700"
"114",114,"University of Kansas","$25,932 ","Lawrence","KS","66045","www.ku.edu","38.958549","-95.247567","0.9301",1,"13","1185",23687,"0","1","1","1","1","1","1","1","2","1","1","1","$25,932 ","48900"
"115",115,"University of California-Riverside","$40,263 ","Riverside","CA","92521","WWW.UCR.EDU","33.97246","-117.32741","0.6634",1,"11","1078",31494,"0","1","0","1","0","1","1","1","1","1","1","1","$40,263 ","43500"
"116",116,"University of St Thomas","$39,594 ","Houston","TX","77006-4696","www.stthom.edu","29.736438","-95.393102","0.7739",2,"11","1085",41141,"0","1","0","1","0","0","1","1","1","1","1","1","$39,594 ","50800"
"117",116,"University of St Thomas","$39,594 ","Houston","TX","77006-4696","www.stthom.edu","29.736438","-95.393102","0.7739",2,"11","1085",41141,"0","1","0","1","0","0","1","1","1","1","1","1","$39,594 ","49600"
"118",116,"University of St Thomas","$39,594 ","Saint Paul","MN","55105-1078","www.stthomas.edu","44.943439","-93.188986","0.8266",2,"11","1204",50515,"0","1","0","1","1","1","1","1","1","1","1","1","$39,594 ","50800"
"119",116,"University of St Thomas","$39,594 ","Saint Paul","MN","55105-1078","www.stthomas.edu","44.943439","-93.188986","0.8266",2,"11","1204",50515,"0","1","0","1","1","1","1","1","1","1","1","1","$39,594 ","49600"
"120",117,"DePaul University","$37,626 ","Chicago","IL","60604","https://www.depaul.edu","41.877618","-87.62724","0.6975",2,"11","NULL",50997,"0","1","1","2","1","0","1","1","1","1","1","1","$37,626 ","49700"
"121",118,"Duquesne University","$35,062 ","Pittsburgh","PA","15282","www.duq.edu","40.43589","-79.993123","0.7394",2,"11","1165",48219,"0","1","0","2","1","0","1","1","1","1","2","1","$35,062 ","60300"
"122",119,"Howard University","$24,908 ","Washington","DC","20059-0001","www.howard.edu","38.922392","-77.018966","0.3",2,"11","1142",43116,"0","0","1","1","1","1","1","1","1","1","1","1","$24,908 ","46000"
"123",120,"University of Arizona","$30,025 ","Tucson","AZ","85721-0066","www.arizona.edu","32.232672","-110.950815","0.7862",1,"11","NULL",24633,"1","1","2","2","2","1","1","1","2","1","2","2","$30,025 ","46200"
"124",121,"Catholic University of America","$42,536 ","Washington","DC","20064","https://www.catholic.edu","38.933651","-76.997909","0.7955",2,"11","NULL",57561,"0","0","1","1","1","1","1","1","1","1","1","1","$42,536 ","51100"
"125",122,"Clarkson University","$46,132 ","Potsdam","NY","13699","www.clarkson.edu","44.662716","-74.999359","0.6821",2,"33","1190",61992,"0","1","0","1","0","1","1","1","1","1","1","1","$46,132 ","61900"
"126",123,"Arizona State University-Tempe","$25,458 ","Tempe","AZ","85287","www.asu.edu/","33.417721","-111.934383","0.825",1,"12","1147",23931,"0","1","1","1","1","1","1","1","1","1","1","1","$25,458 ","46600"
"127",124,"Colorado State University-Fort Collins","$28,374 ","Fort Collins","CO","80523-0100","www.colostate.edu","40.574805","-105.080732","0.7796",1,"12","1159",24885,"2","1","1","1","1","1","1","1","2","2","1","1","$28,374 ","43600"
"128",125,"Imagine-Paul Mitchell Partner School","$45,535 ","North Little Rock","AR","72117","paulmitchell.edu/littlerock","34.789913","-92.222202","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0","$45,535 ","PrivacySuppressed"
"129",126,"Hofstra University","$42,160 ","Hempstead","NY","11549","www.hofstra.edu","40.715959","-73.60078","0.6222",2,"21","1177",55322,"0","1","0","1","1","1","1","1","1","1","1","1","$42,160 ","49500"
"130",127,"University of Kentucky","$26,334 ","Lexington","KY","40506-0032","www.uky.edu","38.038911","-84.504747","0.9079",1,"11","1159",26143,"1","1","1","1","1","1","1","1","1","1","1","1","$26,334 ","46400"
"131",128,"Kansas State University","$23,429 ","Manhattan","KS","66506","www.k-state.edu","39.188648","-96.581077","0.9407",1,"13","NULL",21989,"1","1","1","1","1","1","1","1","1","1","2","1","$23,429 ","43500"
"132",129,"Mercer University","$35,130 ","Macon","GA","31207","www.mercer.edu","32.831787","-83.648295","0.6935",2,"12","1211",48766,"0","1","0","1","1","1","1","1","2","1","1","1","$35,130 ","52200"
"133",130,"New Jersey Institute of Technology","$30,326 ","Newark","NJ","07102","www.njit.edu/","40.741997","-74.177113","0.593",1,"11","1204",29143,"0","1","1","1","0","1","1","1","0","0","1","1","$30,326 ","59200"
"134",131,"University of Arkansas","$23,168 ","Fayetteville","AR","72701","www.uark.edu","36.070009","-94.176981","0.632",1,"13","1170",21817,"1","1","1","1","1","1","1","1","1","1","2","1","$23,168 ","44500"
"135",132,"University of Mississippi","$22,012 ","University","MS","38677-1848","www.olemiss.edu","34.365529","-89.537434","0.783",1,"33","1155",23372,"0","0","0","1","2","1","1","1","1","1","1","1","$22,012 ","48000"
"136",133,"Rutgers University-Newark","$29,480 ","Newark","NJ","07102","www.newark.rutgers.edu/","40.739122","-74.175809","0.6531",1,"11","1005",23299,"0","1","0","1","0","1","1","1","2","2","2","1","$29,480 ","54700"
"137",134,"University of Cincinnati-Main Campus","$26,334 ","Cincinnati","OH","45221-0063","www.uc.edu","39.131159","-84.51428","0.7642",1,"11","1164",26683,"1","1","1","1","2","1","1","1","1","1","1","1","$26,334 ","42100"
"138",135,"George Mason University","$32,582 ","Fairfax","VA","22030-4444","https://www2.gmu.edu/","38.829976","-77.307428","0.8099",1,"21","1165",24347,"0","1","0","2","1","1","1","1","1","1","1","1","$32,582 ","55400"
"139",136,"Oregon State University","$28,846 ","Corvallis","OR","97331","oregonstate.edu","44.56395","-123.274723","0.7748",1,"13","1127",26189,"2","2","0","2","1","1","1","1","2","2","1","2","$28,846 ","47000"
"140",137,"Washington State University","$25,673 ","Pullman","WA","99164-5910","wsu.edu/","46.730448","-117.158168","0.7204",1,"32","1054",26441,"1","1","1","1","1","2","1","1","2","2","2","1","$25,673 ","48300"
"141",138,"Adelphi University","$34,034 ","Garden City","NY","11530-0701","www.adelphi.edu/","40.721439","-73.653321","0.7029",2,"21","1114",47647,"0","1","0","1","1","0","1","1","1","1","1","1","$34,034 ","53700"
"142",139,"San Diego State University","$18,244 ","San Diego","CA","92182","www.sdsu.edu","32.77525","-117.071228","0.3464",1,"11","1132",22056,"0","1","0","1","1","1","1","1","1","1","1","1","$18,244 ","46400"
"143",140,"Sofia University","$21,208 ","Palo Alto","CA","94303","www.sofia.edu","37.430325","-122.10866","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","2","0","0","0","$21,208 ","NULL"
"144",141,"Saint John Fisher College","$31,880 ","Rochester","NY","14618-3597","https://www.sjfc.edu","43.116259","-77.513056","0.6454",2,"21","1078",43779,"0","0","0","1","1","0","1","1","1","1","1","1","$31,880 ","43900"
"145",142,"Illinois State University","$20,886 ","Normal","IL","61790-1000","illinoisstate.edu/","40.509403","-88.990058","0.8888",1,"22","1090",27421,"1","0","0","1","1","0","1","1","1","1","1","1","$20,886 ","43700"
"146",143,"Immaculata University","$35,210 ","Immaculata","PA","19345","www.immaculata.edu","40.027981","-75.570711","0.8189",2,"21","970",50339,"0","0","0","2","1","0","1","1","1","1","2","1","$35,210 ","49500"
"147",144,"University of La Verne","$39,900 ","La Verne","CA","91750-4401","www.laverne.edu/","34.10086","-117.772634","0.4806",2,"21","1040",50603,"0","1","0","1","1","0","1","1","1","1","2","1","$39,900 ","44900"
"148",145,"Northwestern Oklahoma State University","$20,978 ","Alva","OK","73717-2799","www.nwosu.edu","36.796658","-98.667673","0.4377",1,"33","970",14626,"1","0","0","1","1","0","1","1","1","1","2","1","$20,978 ","36600"
"149",146,"University of California-Berkeley","$39,944 ","Berkeley","CA","94720","www.berkeley.edu","37.871918","-122.260463","0.1693",1,"12","1422",34924,"0","1","1","1","0","1","1","1","1","1","1","1","$39,944 ","62500"
"150",147,"University of Illinois at Chicago","$26,526 ","Chicago","IL","60607","www.uic.edu","41.871837","-87.650503","0.7359",1,"11","1105",25131,"0","0","1","1","1","1","1","1","1","1","2","1","$26,526 ","51700"
"151",148,"University of Massachusetts-Lowell","$29,125 ","Lowell","MA","01854-5104","www.uml.edu","42.652864","-71.326809","0.6057",1,"21","1172",26318,"0","0","0","2","0","1","1","2","2","1","2","1","$29,125 ","48600"
"152",149,"Seattle Pacific University","$38,940 ","Seattle","WA","98119-1997","www.spu.edu","47.650214","-122.361667","0.8728",2,"11","1108",51149,"0","0","0","1","1","1","1","1","1","1","1","1","$38,940 ","44000"
"153",150,"University of Rhode Island","$28,852 ","Kingston","RI","02881","web.uri.edu/","41.484691","-71.527356","0.7276",1,"21","1081",27552,"1","1","1","1","1","1","1","1","1","1","1","1","$28,852 ","49100"
"154",151,"University of Alabama at Birmingham","$17,654 ","Birmingham","AL","35294-0110","www.uab.edu","33.505697","-86.799345","0.5814",1,"12","1125",22684,"0","0","0","1","1","1","1","1","1","1","2","1","$17,654 ","42000"
"155",152,"University of Maryland-Baltimore County","$24,492 ","Baltimore","MD","21250","umbc.edu","39.256686","-76.711607","0.5683",1,"21","1216",23818,"0","1","0","1","1","1","1","1","1","1","1","1","$24,492 ","49700"
"156",153,"University of North Florida","$17,325 ","Jacksonville","FL","32224-7699","www.unf.edu","30.27194","-81.509144","0.6453",1,"11","1110",20926,"0","0","0","1","1","1","1","1","1","1","1","1","$17,325 ","41500"
"157",154,"Biola University","$36,696 ","La Mirada","CA","90639-0001","https://www.biola.edu","33.906203","-118.014374","0.6485",2,"21","1093",48857,"0","1","0","1","1","1","1","1","1","1","1","1","$36,696 ","42700"
"158",155,"Virginia Commonwealth University","$31,608 ","Richmond","VA","23284-2512","www.vcu.edu/","37.547631","-77.453597","0.8115",1,"12","1094",29278,"0","1","0","1","1","1","1","1","1","1","1","1","$31,608 ","42300"
"159",156,"Maryville University of Saint Louis","$27,958 ","Saint Louis","MO","63141-7299","www.maryville.edu","38.644774","-90.505998","0.928",2,"21","1114",43804,"0","1","0","1","1","1","1","1","1","1","2","1","$27,958 ","45500"
"160",157,"Missouri University of Science and Technology","$26,152 ","Rolla","MO","65409","www.mst.edu/","37.953426","-91.775583","0.7933",1,"33","1265",21698,"0","0","0","1","0","1","1","1","1","1","1","1","$26,152 ","61400"
"161",158,"Saint Johns University","$39,460 ","Collegeville","MN","56321","www.csbsju.edu","45.580075","-94.393621","0.8778",2,"41","1134",52168,"0","1","0","1","1","0","1","1","1","1","1","1","$39,460 ","54800"
"162",159,"Union University","$30,420 ","Jackson","TN","38305-3697","www.uu.edu","35.676896","-88.858524","0.6257",2,"13","1200",47458,"0","0","0","1","1","1","1","1","1","1","2","1","$30,420 ","42900"
"163",160,"Edgewood College","$27,530 ","Madison","WI","53711-1997","www.edgewood.edu","43.057059","-89.422884","0.7587",2,"11","1069",39116,"0","1","0","1","1","0","1","1","1","1","1","1","$27,530 ","42600"
"164",161,"Florida Institute of Technology","$40,446 ","Melbourne","FL","32901-6975","www.fit.edu","28.065815","-80.622893","0.6133",2,"13","1179",55984,"0","1","0","1","1","1","1","1","1","0","1","0","$40,446 ","50300"
"165",162,"University of Idaho","$22,040 ","Moscow","ID","83844-2282","www.uidaho.edu","46.727406","-117.014167","0.7589",1,"32","1070",20045,"1","1","1","1","1","1","1","1","1","1","1","2","$22,040 ","39800"
"166",163,"University of Louisville","$24,626 ","Louisville","KY","40292-0001","www.louisville.edu","38.216862","-85.760412","0.7257",1,"11","1165",24768,"0","0","0","0","1","1","1","1","1","1","1","1","$24,626 ","41100"
"167",164,"University of Wyoming","$16,215 ","Laramie","WY","82071","www.uwyo.edu","41.311773","-105.57931","0.9508",1,"33","1102",19169,"1","1","0","1","1","1","1","1","1","1","1","1","$16,215 ","47000"
"168",165,"Ball State University","$25,428 ","Muncie","IN","47306","www.bsu.edu","40.203431","-85.409043","0.6225",1,"13","1057",23157,"0","1","1","1","1","1","1","1","1","1","2","1","$25,428 ","37700"
"169",166,"Lipscomb University","$29,756 ","Nashville","TN","37204-3951","www.lipscomb.edu","36.10469","-86.799304","0.6085",2,"11","1142",42170,"0","1","0","1","1","1","1","1","1","1","2","1","$29,756 ","41200"
"170",167,"Mississippi State University","$20,142 ","Mississippi State","MS","39762","www.msstate.edu","33.454852","-88.790139","0.5567",1,"33","1125",22818,"1","1","1","1","1","1","1","1","1","1","1","1","$20,142 ","40600"
"171",168,"Montclair State University","$20,318 ","Montclair","NJ","07043-1624","www.montclair.edu","40.860414","-74.198141","0.6613",1,"21","NULL",24885,"0","0","0","1","1","0","1","1","1","1","1","1","$20,318 ","44600"
"172",169,"Texas Tech University","$22,861 ","Lubbock","TX","79409-5005","www.ttu.edu","33.583448","-101.874783","0.626",1,"11","1117",22112,"2","1","1","1","0","1","1","1","1","1","1","1","$22,861 ","50600"
"173",170,"University of Central Florida","$22,467 ","Orlando","FL","32816","www.ucf.edu/","28.602159","-81.200889","0.4999",1,"21","1179",21168,"0","0","1","1","2","1","1","1","2","2","1","2","$22,467 ","42800"
"174",171,"University of New Mexico-Gallup Campus","$21,302 ","Gallup","NM","87301","www.gallup.unm.edu","35.502662","-108.727252","NULL",1,"41","NULL",12891,"0","0","0","0","0","0","0","0","0","0","0","0","$21,302 ","37200"
"175",172,"Andrews University","$27,684 ","Berrien Springs","MI","49104","www.andrews.edu","41.963859","-86.355815","0.4042",2,"31","1127",36529,"1","0","1","1","1","1","1","1","1","1","1","1","$27,684 ","37200"
"176",173,"Azusa Pacific University","$36,120 ","Azusa","CA","91702-7000","www.apu.edu","34.130047","-117.888375","0.6146",2,"21","1035",48284,"0","0","0","2","1","0","1","1","1","1","2","1","$36,120 ","47600"
"177",174,"University of Maine","$29,498 ","Orono","ME","04469","www.umaine.edu/","44.899257","-68.669332","0.8975",1,"23","1073",22904,"1","1","0","1","1","1","1","1","1","2","1","1","$29,498 ","41000"
"178",175,"West Virginia University","$21,432 ","Morgantown","WV","26506","www.wvu.edu","39.634371","-79.954391","0.7612",1,"13","1069",19512,"1","1","1","1","1","1","1","1","1","1","1","1","$21,432 ","44000"
"179",177,"Robert Morris University","$28,250 ","Moon Township","PA","15108-1189","www.rmu.edu","40.520415","-80.210468","0.7984",2,"21","1050",42015,"0","1","0","1","2","1","1","1","2","2","2","1","$28,250 ","44000"
"180",178,"Suffolk University","$35,578 ","Boston","MA","02108-2770","www.suffolk.edu","42.358944","-71.061788","0.8442",2,"11","1020",48936,"0","1","0","1","1","1","1","1","1","1","1","1","$35,578 ","47900"
"181",179,"University of Hartford","$37,790 ","West Hartford","CT","06117-1599","www.hartford.edu","41.798591","-72.715213","0.7193",2,"12","1046",51495,"0","0","0","1","1","1","1","1","1","1","1","1","$37,790 ","42000"
"182",180,"Athens State University","$18,376 ","Athens","AL","35611","www.athens.edu","34.806793","-86.964698","NULL",1,"31","NULL",NA,"0","0","0","2","2","0","1","1","1","1","2","1","$18,376 ","37700"
"183",181,"North Dakota State University-Main Campus","$19,790 ","Fargo","ND","58108-6050","https://www.ndsu.edu","46.893127","-96.800838","0.928",1,"12","1091",19602,"1","1","1","1","1","1","1","1","1","2","1","1","$19,790 ","47500"
"184",182,"Alabama State University","$42,772 ","Montgomery","AL","36104-0271","www.alasu.edu","32.364317","-86.295677","0.459",1,"12","825",19242,"0","0","0","1","1","1","1","1","2","1","1","1","$42,772 ","25700"
"185",183,"University of Houston","$25,410 ","Houston","TX","77204-2018","www.uh.edu/","29.720393","-95.343537","0.5854",1,"11","1152",23858,"0","1","1","1","0","1","1","1","1","1","1","1","$25,410 ","51200"
"186",184,"Western Michigan University","$25,713 ","Kalamazoo","MI","49008-5200","https://wmich.edu/","42.282194","-85.613759","0.8231",1,"13","1030",23598,"0","1","1","1","1","1","1","1","1","1","1","1","$25,713 ","41600"
"187",185,"Bowling Green State University-Firelands","$18,332 ","Huron","OH","44839-9791","www.firelands.bgsu.edu","41.397521","-82.594156","NULL",1,"41","NULL",14572,"0","0","0","0","0","0","0","0","0","0","0","0","$18,332 ","37500"
"188",186,"Lesley University","$25,750 ","Cambridge","MA","02138-2790","www.lesley.edu","42.38012","-71.117303","0.6373",2,"12","1064",40889,"0","1","0","0","2","0","1","1","2","2","2","1","$25,750 ","34800"
"189",187,"Indiana University-Purdue University-Indianapolis","$29,791 ","Indianapolis","IN","46202-5143","www.iupui.edu","39.772948","-86.172217","0.7397",1,"11","1025",20451,"0","1","0","1","1","1","1","1","1","1","2","1","$29,791 ","43000"
"190",188,"University of Alabama in Huntsville","$20,622 ","Huntsville","AL","35899","www.uah.edu","34.724557","-86.640449","0.7628",1,"12","1257",22059,"0","0","0","1","1","1","1","1","1","1","1","1","$20,622 ","44900"
"191",189,"University of Colorado Denver/Anschutz Medical Campus","$29,334 ","Denver","CO","80217-3364","www.ucdenver.edu/","39.745149","-104.837722","0.6052",1,"11","1077",20306,"0","0","1","1","2","1","1","1","2","2","2","1","$29,334 ","59900"
"192",190,"University of Nevada-Reno","$21,052 ","Reno","NV","89557","www.unr.edu/","39.543642","-119.815377","0.8281",1,"12","1088",20702,"1","1","0","1","1","1","1","1","1","1","1","1","$21,052 ","47300"
"193",191,"Central Michigan University","$23,670 ","Mount Pleasant","MI","48859","https://www.cmich.edu","43.591203","-84.77525","0.7156",1,"32","1049",22778,"0","1","0","1","1","1","1","1","2","2","2","1","$23,670 ","38800"
"194",192,"Louisiana Tech University","$25,851 ","Ruston","LA","71272","www.latech.edu","32.528297","-92.649963","0.6319",1,"32","1105",18954,"1","1","1","1","1","1","1","1","1","1","2","1","$25,851 ","42900"
"195",193,"South Dakota State University","$11,403 ","Brookings","SD","57007-1898","https://www.sdstate.edu/","44.317485","-96.782139","0.9076",1,"33","1069",25761,"1","1","1","1","2","1","1","1","1","2","1","1","$11,403 ","43600"
"196",194,"University of North Dakota","$18,899 ","Grand Forks","ND","58202-8193","und.edu","47.921654","-97.071738","0.8369",1,"13","1090",19290,"0","0","0","1","2","1","1","1","2","1","1","1","$18,899 ","48400"
"197",195,"University of South Dakota","$11,688 ","Vermillion","SD","57069-2390","WWW.USD.EDU","42.786019","-96.925283","0.8813",1,"32","1050",20806,"0","0","0","1","1","0","1","1","1","1","1","1","$11,688 ","41300"
"198",196,"California State University-Fullerton","$17,596 ","Fullerton","CA","92831-3599","www.fullerton.edu","33.881506","-117.885446","0.4823",1,"21","1017",17049,"0","0","0","1","1","1","1","1","1","2","2","1","$17,596 ","43400"
"199",197,"University of Alaska Fairbanks","$22,469 ","Fairbanks","AK","99775-7500","www.uaf.edu","64.85756","-147.823146","0.7347",1,"23","1060",16694,"0","1","0","1","2","1","1","1","1","1","2","1","$22,469 ","40200"
"200",198,"University of North Carolina at Charlotte","$20,193 ","Charlotte","NC","28223-0001","www.uncc.edu","35.306022","-80.730919","0.6203",1,"11","1112",19723,"0","0","1","1","1","1","1","1","1","1","1","1","$20,193 ","42300"
"201",199,"East Carolina University","$22,904 ","Greenville","NC","27858-4353","www.ecu.edu","35.607186","-77.368291","0.7034",1,"13","1040",20567,"0","0","1","2","2","1","1","1","1","1","2","1","$22,904 ","38700"
"202",200,"Montana State University","$23,042 ","Bozeman","MT","59717","www.montana.edu/","45.666726","-111.048812","0.8287",1,"33","1126",19441,"1","2","1","1","2","1","1","2","1","1","1","1","$23,042 ","41500"
"203",201,"Old Dominion University","$27,028 ","Norfolk","VA","23529","www.odu.edu","36.886418","-76.30666","0.8464",1,"12","1010",22806,"0","0","0","2","2","2","1","1","2","2","2","1","$27,028 ","42000"
"204",202,"University of Missouri-Kansas City","$22,714 ","Kansas City","MO","64110","www.umkc.edu/","39.034179","-94.582141","0.6187",1,"11","1126",21575,"0","1","1","1","1","1","1","1","1","1","1","1","$22,714 ","47500"
"205",203,"Ashland University","$20,392 ","Ashland","OH","44805","https://www.ashland.edu","40.861755","-82.321061","0.7247",2,"31","1051",32390,"0","1","0","1","1","0","1","1","1","1","2","1","$20,392 ","37400"
"206",204,"Dallas Baptist University","$26,180 ","Dallas","TX","75211-9299","https://www.dbu.edu","32.710017","-96.947006","0.4311",2,"11","1060",36371,"0","1","0","1","1","0","1","1","2","2","2","2","$26,180 ","43700"
"207",205,"Northern Illinois University","$23,799 ","Dekalb","IL","60115-2828","www.niu.edu","41.933869","-88.766428","0.5184",1,"23","1030",28725,"0","1","0","1","1","1","1","1","1","1","1","1","$23,799 ","42400"
"208",206,"Nova Southeastern University","$27,660 ","Fort Lauderdale","FL","33314-7796","www.nova.edu","26.079337","-80.24248","0.5254",2,"21","1127",43351,"0","1","0","1","2","1","1","0","1","1","2","1","$27,660 ","49800"
"209",207,"Southern Illinois University-Carbondale","$27,130 ","Carbondale","IL","62901-4512","www.siu.edu","37.714193","-89.217273","0.7665",1,"13","1029",26868,"1","1","1","2","1","1","1","1","1","1","2","1","$27,130 ","42100"
"210",208,"University of Montevallo","$24,562 ","Montevallo","AL","35115-6000","www.montevallo.edu","33.10625","-86.865099","0.6542",1,"21","1069",24599,"0","0","0","0","1","0","1","1","1","1","1","1","$24,562 ","30800"
"211",209,"Benedictine University","$32,170 ","Lisle","IL","60532-0900","www.ben.edu","41.777569","-88.097307","NULL",2,"21","NULL",38036,"0","1","0","1","1","1","1","1","1","1","2","1","$32,170 ","45600"
"212",210,"Gardner-Webb University","$29,850 ","Boiling Springs","NC","28017-0997","www.gardner-webb.edu","35.24732","-81.668141","0.5188",2,"32","987",41020,"0","0","0","2","2","0","1","1","1","2","2","1","$29,850 ","36100"
"213",211,"Shenandoah University","$31,322 ","Winchester","VA","22601-5195","www.su.edu","39.166058","-78.158376","0.8802",2,"13","1009",44258,"0","1","0","0","1","0","1","1","1","1","1","1","$31,322 ","45800"
"214",212,"Tennessee Technological University","$24,800 ","Cookeville","TN","38505-0001","www.tntech.edu","36.174659","-85.503957","0.6721",1,"33","1103",23109,"1","1","0","1","2","1","1","1","1","1","1","1","$24,800 ","39700"
"215",213,"University of Southern Mississippi","$16,094 ","Hattiesburg","MS","39406-0001","www.usm.edu","31.32661","-89.331236","0.6014",1,"13","1070",20469,"0","0","1","1","2","1","1","1","1","1","2","1","$16,094 ","36700"
"216",214,"Utah State University","$19,772 ","Logan","UT","84322-1400","www.usu.edu","41.740748","-111.81391","0.9025",1,"13","1087",18093,"2","1","1","1","1","1","1","1","2","2","1","1","$19,772 ","41200"
"217",215,"California State University-Fresno","$17,209 ","Fresno","CA","93740","www.csufresno.edu","36.814477","-119.748258","0.5354",1,"11","907",16078,"1","1","0","1","1","1","1","1","1","1","1","1","$17,209 ","39800"
"218",216,"New Mexico State University-Dona Ana","$21,234 ","Las Cruces","NM","88011","dacc.nmsu.edu/","32.354486","-106.737172","NULL",1,"41","NULL",10972,"0","0","0","0","0","0","0","0","0","0","0","0","$21,234 ","34000"
"219",217,"University of Massachusetts-Boston","$32,023 ","Boston","MA","02125-3393","www.umb.edu","42.312881","-71.036865","0.6852",1,"11","1073",21884,"0","1","0","1","1","1","1","1","1","1","1","1","$32,023 ","45000"
"220",218,"University of Massachusetts-Dartmouth","$19,270 ","North Dartmouth","MA","02747-2300","www.umassd.edu","41.62869","-71.004552","0.7602",1,"22","1025",25410,"0","0","0","1","1","1","1","1","1","2","2","1","$19,270 ","42600"
"221",219,"University of Missouri-St Louis","$26,277 ","Saint Louis","MO","63121-4400","www.umsl.edu/","38.710312","-90.311091","0.7062",1,"21","1101",22105,"0","0","0","1","1","1","1","1","1","2","2","2","$26,277 ","41100"
"222",220,"University of North Carolina at Greensboro","$21,595 ","Greensboro","NC","27402-6170","www.uncg.edu","36.068236","-79.809414","0.7393",1,"11","1054",18764,"0","0","0","2","2","0","1","1","1","1","2","1","$21,595 ","35200"
