"","Name","Rank","Tuition.and.fees","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Princeton University",1,"$45,320 ","Princeton","NJ","08544-0070","www.princeton.edu","40.348732","-74.659365","0.0652",2,"21","1493",61860,"0","0","1","0","0","1","1","1","1","1","0","1"
"2","Harvard University",2,"$47,074 ","Cambridge","MA","02138","www.harvard.edu","42.374471","-71.118313","0.054",2,"12","1506",64400,"0","1","0","1","0","2","2","1","1","2","0","2"
"3","University of Chicago",3,"$52,491 ","Chicago","IL","60637","WWW.UCHICAGO.EDU","41.787994","-87.599539","0.0794",2,"11","1508",70100,"0","1","0","1","0","0","1","1","1","1","0","1"
"4","Yale University",4,"$49,480 ","New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.0632",2,"12","1502",66445,"0","1","1","1","0","1","1","1","1","1","0","1"
"5","Stanford University",5,"$47,940 ","Stanford","CA","94305","www.stanford.edu/","37.429434","-122.167359","0.0481",2,"21","1476",64477,"0","0","0","1","0","1","1","1","1","1","0","1"
"6","Columbia University in the City of New York",6,"$55,056 ","New York","NY","10027","www.columbia.edu","40.808286","-73.961885","0.0683",2,"11","1496",69021,"0","1","1","1","1","1","1","1","1","1","1","1"
"7","Massachusetts Institute of Technology",7,"$48,452 ","Cambridge","MA","02139-4307","web.mit.edu/","42.360095","-71.092115","0.0794",2,"12","1519",63250,"0","0","1","1","0","1","1","1","0","1","1","1"
"8","Duke University",8,"$51,265 ","Durham","NC","27708","WWW.DUKE.EDU","36.001135","-78.937624","0.1083",2,"11","1460",67005,"0","1","0","1","1","1","1","1","1","1","0","1"
"9","University of Pennsylvania",9,"$51,464 ","Philadelphia","PA","19104-6303","www.upenn.edu","39.950929","-75.19391","0.0944",2,"11","1481",66800,"0","1","1","1","0","1","1","1","1","1","1","1"
"10","Johns Hopkins University",10,"$50,410 ","Baltimore","MD","21218-2688","www.jhu.edu","39.328977","-76.621595","0.1284",2,"11","1476",65473,"0","1","0","2","1","2","1","1","1","1","2","1"
"11","Dartmouth College",11,"$51,438 ","Hanover","NH","03755-3529","www.dartmouth.edu","43.704115","-72.289949","0.1059",2,"33","1441",67044,"0","1","0","1","0","1","1","1","1","1","0","1"
"12","California Institute of Technology",12,"$47,577 ","Pasadena","CA","91125","www.caltech.edu","34.137349","-118.125878","0.0807",2,"12","1555",63471,"0","0","0","1","0","1","1","1","0","1","1","1"
"13","Northwestern University",13,"$50,855 ","Evanston","IL","60208","www.northwestern.edu","42.050356","-87.679858","0.1066",2,"13","1470",67887,"0","1","1","1","1","1","1","1","1","1","1","1"
"14","Brown University",14,"$51,367 ","Providence","RI","02912","www.brown.edu","41.82617","-71.40385","0.0931",2,"12","1459",65380,"0","1","0","1","1","1","1","1","1","1","1","1"
"15","Cornell University",15,"$50,953 ","Ithaca","NY","14853","www.cornell.edu","42.4472","-76.483084","0.1409",2,"13","1436",65464,"1","1","1","1","1","1","1","1","1","1","1","1"
"16","Rice University",16,"$43,918 ","Houston","TX","77005-1827","www.rice.edu","29.717897","-95.402035","0.1527",2,"11","1490",58253,"0","1","1","1","0","1","1","1","1","1","1","1"
"17","University of Notre Dame",17,"$49,685 ","Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.1873",2,"21","1474",64775,"0","1","1","1","1","1","1","1","1","1","1","1"
"18","Vanderbilt University",18,"$45,610 ","Nashville","TN","37240","www.vanderbilt.edu","36.14659","-86.803369","0.1075",2,"11","1495",63532,"0","0","0","1","1","1","1","1","1","1","0","1"
"19","Washington University in St Louis",19,"$49,770 ","Saint Louis","MO","63130-4899","www.wustl.edu","38.647929","-90.310604","0.1653",2,"21","1472",67751,"0","1","1","1","1","1","1","1","1","1","1","1"
"20","Emory University",20,"$47,954 ","Atlanta","GA","30322","www.emory.edu","33.790183","-84.325512","0.2529",2,"21","1397",63058,"0","1","0","1","1","1","1","1","1","1","1","1"
"21","Georgetown University",21,"$50,547 ","Washington","DC","20057-0001","www.georgetown.edu","38.908809","-77.073463","0.1685",2,"11","1422",66971,"0","0","0","1","0","0","1","1","1","1","1","1"
"22","University of California-Berkeley",22,"$40,191 ","Berkeley","CA","94720","www.berkeley.edu","37.871918","-122.260463","0.1693",1,"12","1422",34924,"0","1","1","1","0","1","1","1","1","1","1","1"
"23","University of Southern California",23,"$52,217 ","Los Angeles","CA","90089","www.usc.edu/","34.021281","-118.284169","0.1662",2,"11","1395",67064,"0","1","1","1","1","1","1","1","1","1","1","1"
"24","Carnegie Mellon University",24,"$52,040 ","Pittsburgh","PA","15213-3890","www.cmu.edu/","40.44357","-79.941993","0.2171",2,"11","1458",65877,"0","1","1","1","1","1","1","1","1","1","1","1"
"25","University of California-Los Angeles",25,"$39,518 ","Los Angeles","CA","90095-1405","www.ucla.edu/","34.068892","-118.443901","0.1799",1,"11","1334",33078,"0","1","1","1","0","1","1","1","1","1","1","1"
"26","The University of Virginia's College at Wise",26,"$45,066 ","Wise","VA","24293-4400","https://www.uvawise.edu/","36.971468","-82.558728","0.7771",1,"32","963",21138,"0","0","0","1","0","1","0","1","0","1","1","1"
"27","Tufts University",27,"$52,430 ","Medford","MA","02155-5555","www.tufts.edu","42.408465","-71.120316","0.1429",2,"21","1445",65814,"0","1","1","1","0","1","1","1","1","1","0","1"
"28","Wake Forest University",28,"$49,308 ","Winston-Salem","NC","27106","www.wfu.edu","36.133609","-80.277446","0.3034",2,"12","NULL",64442,"0","0","0","1","1","1","1","1","1","1","1","1"
"29","University of Michigan-Ann Arbor",29,"$43,476 ","Ann Arbor","MI","48109","www.umich.edu","42.275921","-83.742769","0.2859",1,"12","1386",27725,"0","1","1","1","1","1","1","1","1","1","1","1"
"30","University of North Carolina at Chapel Hill",30,"$33,916 ","Chapel Hill","NC","27599","www.unc.edu","35.911769","-79.050969","0.2694",1,"13","1338",24327,"0","1","0","1","1","1","1","1","1","1","1","1"
"31","Boston College",31,"$51,296 ","Chestnut Hill","MA","02467","www.bc.edu","42.336213","-71.169242","0.3114",2,"13","1378",65595,"0","1","0","1","1","0","1","1","1","1","1","1"
"32","University of Rochester",32,"$50,142 ","Rochester","NY","14627-0011","www.rochester.edu","43.126397","-77.631202","0.3553",2,"12","NULL",65364,"0","1","0","1","1","1","1","1","1","1","1","1"
"33","College of William and Mary",33,"$41,718 ","Williamsburg","VA","23187-8795","www.wm.edu","37.269489","-76.708214","0.3652",1,"23","1360",33630,"0","0","0","1","0","0","1","1","1","1","1","1"
"34","Brandeis University",34,"$51,570 ","Waltham","MA","02454-9110","www.brandeis.edu/","42.364947","-71.254716","0.3344",2,"13","1377",65954,"0","1","0","1","1","0","1","1","1","1","1","1"
"35","California Institute of Technology",35,"$32,404 ","Pasadena","CA","91125","www.caltech.edu","34.137349","-118.125878","0.0807",2,"12","1555",63471,"0","0","0","1","0","1","1","1","0","1","1","1"
"36","New York University",36,"$49,062 ","New York","NY","10012-1091","www.nyu.edu","40.729452","-73.997264","0.3187",2,"11","1371",67637,"0","0","0","1","1","2","1","1","1","2","2","1"
"37","Case Western Reserve University",37,"$46,006 ","Cleveland","OH","44106","www.case.edu","41.507419","-81.609596","0.3544",2,"11","1408",61371,"0","1","1","1","1","1","1","1","1","1","1","1"
"38","University of California-Santa Barbara",38,"$40,704 ","Santa Barbara","CA","93106","www.ucsb.edu","34.416297","-119.846426","0.3577",1,"22","1281",34998,"0","1","0","1","0","1","1","1","1","1","1","1"
"39","Boston University",39,"$50,240 ","Boston","MA","02215","www.bu.edu","42.351118","-71.107942","0.2943",2,"11","1328",65809,"0","0","1","1","1","1","1","1","1","1","1","1"
"40","Northeastern University",40,"$47,655 ","Boston","MA","02115-5005","www.northeastern.edu","42.339992","-71.088782","0.2888",2,"11","1434",62789,"0","1","1","1","0","1","1","1","1","1","1","1"
"41","Rensselaer Polytechnic Institute",41,"$50,797 ","Troy","NY","12180-3590","www.rpi.edu","42.729978","-73.676646","0.4435",2,"13","1365",66172,"0","1","1","1","0","1","1","1","1","1","1","0"
"42","Tulane University of Louisiana",42,"$51,010 ","New Orleans","LA","70118-5698","tulane.edu","29.940069","-90.122144","0.255",2,"11","1346",64926,"0","1","1","1","1","1","1","1","1","1","1","1"
"43","University of California-Irvine",43,"$39,458 ","Irvine","CA","92697","www.uci.edu/","33.648434","-117.841248","0.4065",1,"11","1206",31198,"0","1","1","1","1","1","1","1","1","1","1","1"
"44","Lehigh University",44,"$48,320 ","Bethlehem","PA","18015","www.lehigh.edu","40.606822","-75.380236","0.2611",2,"13","1340",60391,"0","1","1","1","0","1","1","1","1","1","1","1"
"45","University of Miami",45,"$47,004 ","Coral Gables","FL","33146","www.miami.edu/","25.72126","-80.278662","0.3771",2,"21","1323",59833,"0","1","1","1","1","1","1","1","1","1","1","1"
"46","University of California-Hastings College of Law",46,"$40,728 ","San Francisco","CA","94102-4978","www.uchastings.edu","37.781137","-122.4157","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"47","University of California-San Diego",47,"$41,387 ","La Jolla","CA","92093","www.ucsd.edu","32.876598","-117.237793","0.3566",1,"11","1324",31043,"0","1","0","1","1","1","1","1","1","1","1","1"
"48","University of Illinois at Urbana-Champaign",48,"$31,320 ","Champaign","IL","61820-5711","www.illinois.edu/","40.104718","-88.229114","0.6007",1,"13","1320",29764,"1","1","1","1","1","1","1","1","1","1","1","1"
"49","University of Wisconsin-Madison",49,"$32,738 ","Madison","WI","53706-1380","www.wisc.edu","43.075409","-89.404098","0.5262",1,"11","1302",24594,"1","1","1","1","1","1","1","1","1","1","1","1"
"50","Pepperdine University",50,"$50,022 ","Malibu","CA","90263","www.pepperdine.edu/","34.037786","-118.707077","0.3687",2,"21","1251",66152,"0","0","0","1","1","0","1","1","1","1","2","1"
"51","University of Florida",51,"$28,666 ","Gainesville","FL","32611","www.ufl.edu/","29.64629","-82.347911","0.4594",1,"12","1287",20571,"1","1","1","2","1","1","2","1","2","2","1","1"
"52","Villanova University",52,"$49,280 ","Villanova","PA","19085-1699","www.villanova.edu","40.039388","-75.345457","0.435",2,"21","1350",62583,"0","1","0","1","1","1","1","1","1","1","2","1"
"53","University of Washington-Seattle Campus",53,"$34,791 ","Seattle","WA","98195-4550","www.washington.edu","47.65538","-122.30514","0.4535",1,"11","1266",25520,"1","1","1","1","2","1","1","1","1","2","1","1"
"54","George Washington University",54,"$51,950 ","Washington","DC","20052","www.gwu.edu","38.89923","-77.048363","0.4021",2,"11","1301",65218,"0","1","0","2","0","1","1","1","1","1","1","1"
"55","Southern Methodist University",55,"$50,358 ","Dallas","TX","75275-0221","www.smu.edu","32.845254","-96.784855","0.4892",2,"21","1330",66889,"0","1","0","1","1","1","1","1","1","1","1","1"
"56","University of Georgia",56,"$29,844 ","Athens","GA","30602","www.uga.edu","33.956262","-83.374039","0.539",1,"12","1262",24991,"1","1","1","1","2","1","1","1","1","1","2","1"
"57","Fordham University",57,"$47,317 ","Bronx","NY","10458","www.fordham.edu","40.859354","-73.882705","0.4522",2,"11","1281",63109,"0","1","0","1","1","1","1","1","1","1","1","1"
"58","Syracuse University",58,"$45,022 ","Syracuse","NY","13244","https://www.syracuse.edu","43.040176","-76.136975","0.5232",2,"12","1204",61070,"0","0","1","1","1","1","1","1","1","1","1","1"
"59","University of Connecticut",59,"$35,858 ","Storrs","CT","06269","uconn.edu/","41.809098","-72.249948","0.488",1,"21","1248",29128,"1","1","1","1","1","1","1","1","1","1","1","1"
"60","Worcester Polytechnic Institute",60,"$46,994 ","Worcester","MA","01609-2280","https://www.wpi.edu/","42.274853","-71.808339","0.4844",2,"12","NULL",60878,"0","0","0","1","0","1","1","1","1","1","1","0"
"61","University of Maryland-College Park",61,"$32,045 ","College Park","MD","20742","www.umd.edu","38.988178","-76.944721","0.4806",1,"21","1337",24041,"1","1","1","1","1","1","1","1","1","1","1","1"
"62","Clemson University",62,"$32,796 ","Clemson","SC","29634","www.clemson.edu","34.679381","-82.835114","0.5054",1,"21","1269",27722,"1","1","1","1","1","2","1","1","1","1","1","1"
"63","Yeshiva University",63,"$40,670 ","New York","NY","10033-3299","www.yu.edu","40.850605","-73.929873","0.5075",2,"11","1217",57355,"0","0","0","1","1","1","1","1","1","1","1","1"
"64","Brigham Young University-Provo",64,"$5,300 ","Provo","UT","84602","www.byu.edu","40.250851","-111.649281","0.5118",2,"12","1293",17395,"1","0","0","1","1","1","1","1","1","1","1","1"
"65","University of Pittsburgh-Bradford",65,"$29,758 ","Bradford","PA","16701","www.upb.pitt.edu/","41.943415","-78.673701","0.526",1,"33","982",25788,"0","0","0","1","1","1","1","1","1","1","1","0"
"66","Rutgers University-New Brunswick",66,"$30,023 ","New Brunswick","NJ","08901-1281","newbrunswick.rutgers.edu/","40.498769","-74.446251","0.5694",1,"13","1230",29388,"1","1","1","2","0","1","1","1","2","2","2","1"
"67","Baylor University",67,"$42,006 ","Waco","TX","76798","www.baylor.edu","31.54896","-97.117641","0.3972",2,"12","1246",56701,"0","1","0","1","1","1","1","1","1","1","1","1"
"68","Stevens Institute of Technology",68,"$48,838 ","Hoboken","NJ","07030-5991","www.stevens.edu","40.744776","-74.025334","0.3911",2,"21","1360",62100,"0","0","0","1","0","1","1","1","0","1","1","0"
"69","University of Minnesota-Twin Cities",69,"$22,210 ","Minneapolis","MN","55455-0213","https://twin-cities.umn.edu","44.972851","-93.235464","0.4441",1,"11","1288",25370,"1","1","1","2","2","2","1","1","1","1","2","1"
"70","American University",70,"$44,853 ","Washington","DC","20016-8001","WWW.AMERICAN.EDU","38.936005","-77.088875","0.2591",2,"11","1262",60501,"0","1","0","1","1","0","1","1","1","1","1","1"
"71","Clark University",71,"$43,150 ","Worcester","MA","01610-1477","www.clarku.edu","42.249987","-71.823356","0.5473",2,"12","NULL",51609,"0","1","0","1","0","0","1","1","1","1","1","1"
"72","Texas A & M University-College Station",72,"$28,768 ","College Station","TX","77843-1248","www.tamu.edu","30.618726","-96.336475","0.6717",1,"12","1205",24682,"1","1","1","1","0","1","1","1","1","1","1","1"
"73","University of Massachusetts-Amherst",73,"$30,123 ","Amherst","MA","01003","www.umass.edu","42.385999","-72.526728","0.5968",1,"21","1234",28000,"1","1","1","1","1","1","1","1","1","1","2","1"
"74","Bryant & Stratton College-Virginia Beach",74,"$29,371 ","Virginia Beach","VA","23462","www.bryantstratton.edu","36.827826","-76.13819","NULL",3,"11","NULL",22519,"0","0","0","0","0","0","0","0","0","0","1","0"
"75","University of Delaware",75,"$31,420 ","Newark","DE","19716","www.udel.edu/","39.679577","-75.752822","0.695",1,"21","1170",24557,"2","1","1","1","1","1","1","1","1","1","1","1"
"76","Miami University-Oxford",76,"$31,592 ","Oxford","OH","45056","miamioh.edu","39.507757","-84.732954","0.6538",1,"31","1276",29413,"0","1","1","1","1","1","1","1","1","1","1","1"
"77","University of California-Santa Cruz",77,"$40,241 ","Santa Cruz","CA","95064-1011","www.ucsc.edu/","36.995584","-122.058801","0.5785",1,"13","1201",34608,"1","1","0","1","1","1","1","1","1","1","1","1"
"78","Colorado School of Mines",78,"$34,828 ","Golden","CO","80401","www.mines.edu","39.751443","-105.223364","0.4035",1,"21","1354",31226,"0","0","0","1","0","1","0","1","0","1","0","0"
"79","Michigan State University",79,"$39,090 ","East Lansing","MI","48824-1046","https://www.msu.edu","42.73212","-84.476111","0.6574",1,"13","1194",25809,"1","1","1","1","1","1","1","1","1","1","1","1"
"80","Texas Christian University",80,"$42,670 ","Fort Worth","TX","76129","www.tcu.edu/","32.709568","-97.361537","0.3758",2,"11","1223",58040,"1","1","0","1","1","1","1","1","1","1","1","1"
"81","University of Iowa",81,"$28,413 ","Iowa City","IA","52242-1316","www.uiowa.edu","41.661935","-91.536425","0.8411",1,"13","1165",21010,"0","1","0","1","1","1","1","1","1","1","2","1"
"82","Marquette University",82,"$38,470 ","Milwaukee","WI","53233","www.marquette.edu","43.03903","-87.927961","0.8434",2,"11","1199",51316,"0","1","0","1","1","1","1","1","1","1","1","1"
"83","University of Denver",83,"$46,362 ","Denver","CO","80208","www.du.edu","39.678005","-104.963259","0.5347",2,"11","1262",59656,"0","2","0","1","0","1","1","1","1","2","2","1"
"84","University of San Diego",84,"$46,140 ","San Diego","CA","92110-2492","www.sandiego.edu","32.77142","-117.188721","0.5138",2,"11","1237",61004,"0","1","1","1","0","1","1","1","1","1","1","1"
"85","University of Tulsa",85,"$38,796 ","Tulsa","OK","74104-3189","https://utulsa.edu","36.152324","-95.945941","0.3696",2,"11","1308",53667,"0","1","0","1","1","1","1","1","1","1","1","1"
"86","Indiana University-Bloomington",86,"$34,246 ","Bloomington","IN","47405-7000","www.iub.edu","39.16609","-86.526559","0.7872",1,"13","1200",24432,"0","1","0","1","1","0","1","1","1","1","2","1"
"87","Florida State University",87,"$24,673 ","Tallahassee","FL","32306-1037","www.fsu.edu","30.440756","-84.291921","0.5801",1,"12","1214",21938,"0","1","0","1","1","1","1","1","1","1","1","1"
"88","University of Vermont",88,"$40,364 ","Burlington","VT","05405-0160","www.uvm.edu","44.477325","-73.196646","0.6894",1,"13","1216",30573,"1","2","0","1","1","1","1","1","1","1","1","1"
"89","North Carolina State University at Raleigh",89,"$26,399 ","Raleigh","NC","27695-7001","www.ncsu.edu","35.785111","-78.674517","0.4751",1,"11","1273",22226,"1","1","1","1","1","1","1","1","1","1","1","1"
"90","University of Colorado Boulder",90,"$35,079 ","Boulder","CO","80309-0017","www.colorado.edu","40.008781","-105.270823","0.7662",1,"12","1229",31393,"0","1","1","1","1","1","1","1","1","1","1","1"
"91","Drexel University",91,"$51,030 ","Philadelphia","PA","19104","www.drexel.edu","39.955217","-75.190051","0.7465",2,"11","1204",67821,"0","1","1","1","1","1","1","1","1","1","1","1"
"92","Saint Louis University",92,"$40,726 ","Saint Louis","MO","63103-2097","www.slu.edu","38.636801","-90.2351","0.6474",2,"11","1259",54698,"0","1","0","1","1","1","1","1","1","1","2","1"
"93","Auburn University",93,"$28,840 ","Auburn","AL","36849","www.auburn.edu","32.599378","-85.488258","0.8054",1,"13","1217",29794,"1","1","1","1","1","1","1","1","1","1","1","1"
"94","Loyola University Chicago",94,"$41,384 ","Chicago","IL","60660","www.luc.edu","42.000765","-87.656872","0.7257",2,"11","1195",54324,"0","1","0","2","1","1","1","1","2","1","2","1"
"95","SUNY College of Environmental Science and Forestry",95,"$17,620 ","Syracuse","NY","13210","www.esf.edu","43.034765","-76.138724","0.5421",1,"12","1157",24430,"0","1","1","0","0","1","1","0","0","0","1","0"
"96","Illinois Institute of Technology",96,"$45,214 ","Chicago","IL","60616","web.iit.edu/","41.8313","-87.627321","0.571",2,"11","1275",57277,"0","0","1","1","0","1","1","1","1","1","1","0"
"97","University of Oregon",97,"$33,442 ","Eugene","OR","97403","www.uoregon.edu","44.045146","-123.075792","0.7787",1,"12","1111",24209,"0","1","1","1","1","0","1","1","1","1","1","1"
"98","University of Alabama at Birmingham",98,"$26,950 ","Birmingham","AL","35294-0110","www.uab.edu","33.505697","-86.799345","0.5814",1,"12","1125",22684,"0","0","0","1","1","1","1","1","1","1","2","1"
"99","The University of Tennessee-Chattanooga",99,"$30,858 ","Chattanooga","TN","37403-2598","www.utc.edu","35.048247","-85.299812","0.7826",1,"12","1088",21495,"0","1","0","1","1","1","1","1","1","1","1","1"
"100","Rochester Institute of Technology",100,"$38,568 ","Rochester","NY","14623-5603","www.rit.edu/","43.084188","-77.67386","0.5493",2,"21","1254",50713,"0","1","0","1","0","1","1","1","1","1","1","0"
"101","University of San Francisco",101,"$44,494 ","San Francisco","CA","94117-1080","https://www.usfca.edu","37.775564","-122.450977","0.7137",2,"11","1150",61072,"0","1","1","1","0","0","1","1","1","1","1","1"
"102","University of New Hampshire-School of Law",102,"$31,424 ","Concord","NH","03301-4197","https://law.unh.edu","43.207371","-71.545152","NULL",1,"31","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"103","University of North Carolina at Asheville",103,"$31,282 ","Asheville","NC","28804-8510","https://www.unca.edu","35.617068","-82.565392","0.7593",1,"13","1155",18424,"0","1","0","1","0","1","1","1","1","1","1","1"
"104","Iowa State University",104,"$21,483 ","Ames","IA","50011-2103","www.iastate.edu","42.026212","-93.648504","0.8749",1,"13","1144",19182,"1","1","1","1","1","1","1","1","1","1","1","1"
"105","University of Dayton",105,"$40,940 ","Dayton","OH","45469","https://www.udayton.edu","39.739547","-84.176113","0.6035",2,"12","1185",53530,"0","1","0","1","1","1","1","1","1","1","1","1"
"106","University of the Pacific",106,"$44,588 ","Stockton","CA","95211-0197","www.pacific.edu","37.981424","-121.312301","0.6599",2,"11","1180",56899,"0","1","0","1","1","1","1","1","1","1","1","1"
"107","University of Utah",107,"$27,039 ","Salt Lake City","UT","84112-9008","www.utah.edu","40.762484","-111.846044","0.7642",1,"12","1116",18444,"0","1","1","1","1","1","1","1","1","1","1","1"
"108","University of Mississippi",108,"$25,892 ","University","MS","38677-1848","www.olemiss.edu","34.365529","-89.537434","0.783",1,"33","1155",23372,"0","0","0","1","2","1","1","1","1","1","1","1"
"109","University of Nebraska-Lincoln",109,"$23,148 ","Lincoln","NE","68588","www.unl.edu/","40.817598","-96.700508","0.7527",1,"11","1144",22535,"2","1","1","1","1","1","1","1","1","1","1","1"
"110","University of Oklahoma-Health Sciences Center",110,"$21,451 ","Oklahoma City","OK","73117-1221","ouhsc.edu","35.47928","-97.496289","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
