"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"70","IA",70,"Iowa State University","$21,483 ","30,034","Ames","50011-2103","www.iastate.edu",42.026212,-93.648504,"0.8749","Public","City","1144",19182,1,1,1,1,1,1,1,1,1,1,1,1,"$21,483 ","30,034",47600,273.5,7,60.92
"71","OH",71,"University of Dayton","$40,940 ","8,665","Dayton","45469","https://www.udayton.edu",39.739547,-84.176113,"0.6035","Private nonprofit","City","1185",53530,0,1,0,1,1,1,1,1,1,1,1,1,"$40,940 ","8,665",50200,284.9,39,46.04
"72","CA",72,"University of the Pacific","$44,588 ","3,735","Stockton","95211-0197","www.pacific.edu",37.981424,-121.312301,"0.6599","Private nonprofit","City","1180",56899,0,1,0,1,1,1,1,1,1,1,1,1,"$44,588 ","3,735",74300,396.1,10,59.96
"73","UT",73,"University of Utah","$27,039 ","23,794","Salt Lake City","84112-9008","www.utah.edu",40.762484,-111.846044,"0.7642","Public","City","1116",18444,0,1,1,1,1,1,1,1,1,1,1,1,"$27,039 ","23,794",51800,215.6,1,71.02
"74","MI",74,"Michigan Technological University","$30,968 ","5,721","Houghton","49931-1295","www.mtu.edu",47.11866,-88.548092,"0.7644","Public","Town","1242",26587,0,1,0,1,0,1,1,1,1,1,1,1,"$30,968 ","5,721",56800,427.3,43,44.17
"75","NJ",75,"Seton Hall University","$39,258 ","6,090","South Orange","07079-2697","www.shu.edu/",40.742336,-74.246027,"0.669","Private nonprofit","Suburb","1156",51395,0,1,0,1,1,0,1,1,1,1,2,1,"$39,258 ","6,090",53400,261.2,20,56.82
"76","PA",76,"Temple University","$25,994 ","28,609","Philadelphia","19122-6096","www.temple.edu",39.980546,-75.156859,"0.5219","Public","City","NULL",30166,1,1,1,1,1,1,1,1,1,1,2,1,"$25,994 ","28,609",49700,314.1,34,49.98
"77","KS",77,"University of Kansas","$25,932 ","19,245","Lawrence","66045","www.ku.edu",38.958549,-95.247567,"0.9301","Public","City","1185",23687,0,1,1,1,1,1,1,1,2,1,1,1,"$25,932 ","19,245",48900,348.6,24,54.55
"78","IL",78,"DePaul University","$37,626 ","15,961","Chicago","60604","https://www.depaul.edu",41.877618,-87.62724,"0.6975","Private nonprofit","City","NULL",50997,0,1,1,2,1,0,1,1,1,1,1,1,"$37,626 ","15,961",49700,370,25,52.6
"79","PA",79,"Duquesne University","$35,062 ","5,961","Pittsburgh","15282","www.duq.edu",40.43589,-79.993123,"0.7394","Private nonprofit","City","1165",48219,0,1,0,2,1,0,1,1,1,1,2,1,"$35,062 ","5,961",60300,314.1,34,49.98
"80","DC",80,"Howard University","$24,908 ","6,883","Washington","20059-0001","www.howard.edu",38.922392,-77.018966,"0.3","Private nonprofit","City","1142",43116,0,0,1,1,1,1,1,1,1,1,1,1,"$24,908 ","6,883",46000,1244.4,18,57.01
"81","AZ",81,"University of Arizona","$30,025 ","33,732","Tucson","85721-0066","www.arizona.edu",32.232672,-110.950815,"0.7862","Public","City","NULL",24633,1,1,2,2,2,1,1,1,2,1,2,2,"$30,025 ","33,732",46200,399.9,31,51.51
"82","NY",82,"Clarkson University","$46,132 ","3,257","Potsdam","13699","www.clarkson.edu",44.662716,-74.999359,"0.6821","Private nonprofit","Town","1190",61992,0,1,0,1,0,1,1,1,1,1,1,1,"$46,132 ","3,257",61900,381.8,26,52.54
"83","NY",83,"Hofstra University","$42,160 ","6,824","Hempstead","11549","www.hofstra.edu",40.715959,-73.60078,"0.6222","Private nonprofit","Suburb","1177",55322,0,1,0,1,1,1,1,1,1,1,1,1,"$42,160 ","6,824",49500,381.8,26,52.54
"84","KY",84,"University of Kentucky","$26,334 ","22,705","Lexington","40506-0032","www.uky.edu",38.038911,-84.504747,"0.9079","Public","City","1159",26143,1,1,1,1,1,1,1,1,1,1,1,1,"$26,334 ","22,705",46400,211.6,49,35.08
"85","KS",85,"Kansas State University","$23,429 ","19,859","Manhattan","66506","www.k-state.edu",39.188648,-96.581077,"0.9407","Public","City","NULL",21989,1,1,1,1,1,1,1,1,1,1,2,1,"$23,429 ","19,859",43500,348.6,24,54.55
"86","GA",86,"Mercer University","$35,130 ","4,667","Macon","31207","www.mercer.edu",32.831787,-83.648295,"0.6935","Private nonprofit","City","1211",48766,0,1,0,1,1,1,1,1,2,1,1,1,"$35,130 ","4,667",52200,377.3,37,47.43
"87","NJ",87,"New Jersey Institute of Technology","$30,326 ","8,008","Newark","07102","www.njit.edu/",40.741997,-74.177113,"0.593","Public","City","1204",29143,0,1,1,1,0,1,1,1,0,0,1,1,"$30,326 ","8,008",59200,261.2,20,56.82
"88","AR",88,"University of Arkansas","$23,168 ","22,159","Fayetteville","72701","www.uark.edu",36.070009,-94.176981,"0.632","Public","City","1170",21817,1,1,1,1,1,1,1,1,1,1,2,1,"$23,168 ","22,159",44500,480.1,47,38.22
"89","MS",89,"University of Mississippi","$22,012 ","18,785","University","38677-1848","www.olemiss.edu",34.365529,-89.537434,"0.783","Public","Town","1155",23372,0,0,0,1,2,1,1,1,1,1,1,1,"$22,012 ","18,785",48000,278.5,48,36.05
"90","VA",90,"George Mason University","$32,582 ","23,062","Fairfax","22030-4444","https://www2.gmu.edu/",38.829976,-77.307428,"0.8099","Public","Suburb","1165",24347,0,1,0,2,1,1,1,1,1,1,1,1,"$32,582 ","23,062",55400,196.2,21,56.61
"91","OR",91,"Oregon State University","$28,846 ","24,612","Corvallis","97331","oregonstate.edu",44.56395,-123.274723,"0.7748","Public","City","1127",26189,2,2,0,2,1,1,1,1,2,2,1,2,"$28,846 ","24,612",47000,232.3,32,51.4
"92","WA",92,"Washington State University","$25,673 ","24,470","Pullman","99164-5910","wsu.edu/",46.730448,-117.158168,"0.7204","Public","Town","1054",26441,1,1,1,1,1,2,1,1,2,2,2,1,"$25,673 ","24,470",48300,285.2,12,59.26
"93","NY",93,"Adelphi University","$34,034 ","4,852","Garden City","11530-0701","www.adelphi.edu/",40.721439,-73.653321,"0.7029","Private nonprofit","Suburb","1114",47647,0,1,0,1,1,0,1,1,1,1,1,1,"$34,034 ","4,852",53700,381.8,26,52.54
"94","CA",94,"San Diego State University","$18,244 ","29,234","San Diego","92182","www.sdsu.edu",32.77525,-117.071228,"0.3464","Public","City","1132",22056,0,1,0,1,1,1,1,1,1,1,1,1,"$18,244 ","29,234",46400,396.1,10,59.96
"95","IL",95,"Illinois State University","$20,886 ","18,426","Normal","61790-1000","illinoisstate.edu/",40.509403,-88.990058,"0.8888","Public","Suburb","1090",27421,1,0,0,1,1,0,1,1,1,1,1,1,"$20,886 ","18,426",43700,370,25,52.6
"96","PA",96,"Immaculata University","$35,210 ","1,790","Immaculata","19345","www.immaculata.edu",40.027981,-75.570711,"0.8189","Private nonprofit","Suburb","970",50339,0,0,0,2,1,0,1,1,1,1,2,1,"$35,210 ","1,790",49500,314.1,34,49.98
"97","CA",97,"University of La Verne","$39,900 ","2,864","La Verne","91750-4401","www.laverne.edu/",34.10086,-117.772634,"0.4806","Private nonprofit","Suburb","1040",50603,0,1,0,1,1,0,1,1,1,1,2,1,"$39,900 ","2,864",44900,396.1,10,59.96
"98","WA",98,"Seattle Pacific University","$38,940 ","3,202","Seattle","98119-1997","www.spu.edu",47.650214,-122.361667,"0.8728","Private nonprofit","City","1108",51149,0,0,0,1,1,1,1,1,1,1,1,1,"$38,940 ","3,202",44000,285.2,12,59.26
"99","RI",99,"University of Rhode Island","$28,852 ","13,641","Kingston","02881","web.uri.edu/",41.484691,-71.527356,"0.7276","Public","Suburb","1081",27552,1,1,1,1,1,1,1,1,1,1,1,1,"$28,852 ","13,641",49100,219.2,27,52.37
"100","CA",100,"Biola University","$36,696 ","4,225","La Mirada","90639-0001","https://www.biola.edu",33.906203,-118.014374,"0.6485","Private nonprofit","Suburb","1093",48857,0,1,0,1,1,1,1,1,1,1,1,1,"$36,696 ","4,225",42700,396.1,10,59.96
"101","VA",101,"Virginia Commonwealth University","$31,608 ","24,051","Richmond","23284-2512","www.vcu.edu/",37.547631,-77.453597,"0.8115","Public","City","1094",29278,0,1,0,1,1,1,1,1,1,1,1,1,"$31,608 ","24,051",42300,196.2,21,56.61
"102","TN",102,"Union University","$30,420 ","2,829","Jackson","38305-3697","www.uu.edu",35.676896,-88.858524,"0.6257","Private nonprofit","City","1200",47458,0,0,0,1,1,1,1,1,1,1,2,1,"$30,420 ","2,829",42900,608.4,45,39.96
"103","WI",103,"Edgewood College","$27,530 ","1,813","Madison","53711-1997","www.edgewood.edu",43.057059,-89.422884,"0.7587","Private nonprofit","City","1069",39116,0,1,0,1,1,0,1,1,1,1,1,1,"$27,530 ","1,813",42600,290.3,15,57.8
"104","FL",104,"Florida Institute of Technology","$40,446 ","3,586","Melbourne","32901-6975","www.fit.edu",28.065815,-80.622893,"0.6133","Private nonprofit","City","1179",55984,0,1,0,1,1,1,1,1,1,0,1,0,"$40,446 ","3,586",50300,540.5,35,49.14
"105","ID",105,"University of Idaho","$22,040 ","9,116","Moscow","83844-2282","www.uidaho.edu",46.727406,-117.014167,"0.7589","Public","Town","1070",20045,1,1,1,1,1,1,1,1,1,1,1,2,"$22,040 ","9,116",39800,212.2,6,60.93
"106","KY",106,"University of Louisville","$24,626 ","15,769","Louisville","40292-0001","www.louisville.edu",38.216862,-85.760412,"0.7257","Public","City","1165",24768,0,0,0,0,1,1,1,1,1,1,1,1,"$24,626 ","15,769",41100,211.6,49,35.08
"107","WY",107,"University of Wyoming","$16,215 ","10,045","Laramie","82071","www.uwyo.edu",41.311773,-105.57931,"0.9508","Public","Town","1102",19169,1,1,0,1,1,1,1,1,1,1,1,1,"$16,215 ","10,045",47000,195.5,13,59.24
"108","IN",108,"Ball State University","$25,428 ","16,602","Muncie","47306","www.bsu.edu",40.203431,-85.409043,"0.6225","Public","City","1057",23157,0,1,1,1,1,1,1,1,1,1,2,1,"$25,428 ","16,602",37700,365.3,40,45.94
"109","TN",109,"Lipscomb University","$29,756 ","3,030","Nashville","37204-3951","www.lipscomb.edu",36.10469,-86.799304,"0.6085","Private nonprofit","City","1142",42170,0,1,0,1,1,1,1,1,1,1,2,1,"$29,756 ","3,030",41200,608.4,45,39.96
"110","MS",110,"Mississippi State University","$20,142 ","17,421","Mississippi State","39762","www.msstate.edu",33.454852,-88.790139,"0.5567","Public","Town","1125",22818,1,1,1,1,1,1,1,1,1,1,1,1,"$20,142 ","17,421",40600,278.5,48,36.05
"111","NJ",111,"Montclair State University","$20,318 ","16,336","Montclair","07043-1624","www.montclair.edu",40.860414,-74.198141,"0.6613","Public","Suburb","NULL",24885,0,0,0,1,1,0,1,1,1,1,1,1,"$20,318 ","16,336",44600,261.2,20,56.82
"112","TX",112,"Texas Tech University","$22,861 ","29,237","Lubbock","79409-5005","www.ttu.edu",33.583448,-101.874783,"0.626","Public","City","1117",22112,2,1,1,1,0,1,1,1,1,1,1,1,"$22,861 ","29,237",50600,405.9,29,52.23
"113","FL",113,"University of Central Florida","$22,467 ","54,513","Orlando","32816","www.ucf.edu/",28.602159,-81.200889,"0.4999","Public","Suburb","1179",21168,0,0,1,1,2,1,1,1,2,2,1,2,"$22,467 ","54,513",42800,540.5,35,49.14
"114","MI",114,"Andrews University","$27,684 ","1,733","Berrien Springs","49104","www.andrews.edu",41.963859,-86.355815,"0.4042","Private nonprofit","Town","1127",36529,1,0,1,1,1,1,1,1,1,1,1,1,"$27,684 ","1,733",37200,427.3,43,44.17
"115","CA",115,"Azusa Pacific University","$36,120 ","5,883","Azusa","91702-7000","www.apu.edu",34.130047,-117.888375,"0.6146","Private nonprofit","Suburb","1035",48284,0,0,0,2,1,0,1,1,1,1,2,1,"$36,120 ","5,883",47600,396.1,10,59.96
"116","ME",116,"University of Maine","$29,498 ","9,297","Orono","04469","www.umaine.edu/",44.899257,-68.669332,"0.8975","Public","Suburb","1073",22904,1,1,0,1,1,1,1,1,1,2,1,1,"$29,498 ","9,297",41000,127.8,33,51.32
"117","WV",117,"West Virginia University","$21,432 ","22,498","Morgantown","26506","www.wvu.edu",39.634371,-79.954391,"0.7612","Public","City","1069",19512,1,1,1,1,1,1,1,1,1,1,1,1,"$21,432 ","22,498",44000,302,51,32.65
"118","PA",119,"Robert Morris University","$28,250 ","4,497","Moon Township","15108-1189","www.rmu.edu",40.520415,-80.210468,"0.7984","Private nonprofit","Suburb","1050",42015,0,1,0,1,2,1,1,1,2,2,2,1,"$28,250 ","4,497",44000,314.1,34,49.98
"119","MA",120,"Suffolk University","$35,578 ","5,565","Boston","02108-2770","www.suffolk.edu",42.358944,-71.061788,"0.8442","Private nonprofit","City","1020",48936,0,1,0,1,1,1,1,1,1,1,1,1,"$35,578 ","5,565",47900,391.4,16,57.42
"120","CT",121,"University of Hartford","$37,790 ","5,246","West Hartford","06117-1599","www.hartford.edu",41.798591,-72.715213,"0.7193","Private nonprofit","City","1046",51495,0,0,0,1,1,1,1,1,1,1,1,1,"$37,790 ","5,246",42000,236.9,17,57.04
"121","TX",122,"University of Houston","$25,410 ","34,716","Houston","77204-2018","www.uh.edu/",29.720393,-95.343537,"0.5854","Public","City","1152",23858,0,1,1,1,0,1,1,1,1,1,1,1,"$25,410 ","34,716",51200,405.9,29,52.23
"122","MI",123,"Western Michigan University","$25,713 ","18,567","Kalamazoo","49008-5200","https://wmich.edu/",42.282194,-85.613759,"0.8231","Public","City","1030",23598,0,1,1,1,1,1,1,1,1,1,1,1,"$25,713 ","18,567",41600,427.3,43,44.17
"123","MA",124,"Lesley University","$25,750 ","1,520","Cambridge","02138-2790","www.lesley.edu",42.38012,-71.117303,"0.6373","Private nonprofit","City","1064",40889,0,1,0,0,2,0,1,1,2,2,2,1,"$25,750 ","1,520",34800,391.4,16,57.42
"124","MI",125,"Central Michigan University","$23,670 ","20,498","Mount Pleasant","48859","https://www.cmich.edu",43.591203,-84.77525,"0.7156","Public","Town","1049",22778,0,1,0,1,1,1,1,1,2,2,2,1,"$23,670 ","20,498",38800,427.3,43,44.17
"125","LA",126,"Louisiana Tech University","$25,851 ","10,682","Ruston","71272","www.latech.edu",32.528297,-92.649963,"0.6319","Public","Town","1105",18954,1,1,1,1,1,1,1,1,1,1,2,1,"$25,851 ","10,682",42900,514.7,46,39.03
"126","SD",127,"South Dakota State University","$11,403 ","11,007","Brookings","57007-1898","https://www.sdstate.edu/",44.317485,-96.782139,"0.9076","Public","Town","1069",25761,1,1,1,1,2,1,1,1,1,2,1,1,"$11,403 ","11,007",43600,326.5,9,60.08
"127","ND",128,"University of North Dakota","$18,899 ","11,577","Grand Forks","58202-8193","und.edu",47.921654,-97.071738,"0.8369","Public","City","1090",19290,0,0,0,1,2,1,1,1,2,1,1,1,"$18,899 ","11,577",48400,265.1,3,67.95
"128","SD",129,"University of South Dakota","$11,688 ","7,435","Vermillion","57069-2390","WWW.USD.EDU",42.786019,-96.925283,"0.8813","Public","Town","1050",20806,0,0,0,1,1,0,1,1,1,1,1,1,"$11,688 ","7,435",41300,326.5,9,60.08
"129","NC",130,"East Carolina University","$22,904 ","23,039","Greenville","27858-4353","www.ecu.edu",35.607186,-77.368291,"0.7034","Public","City","1040",20567,0,0,1,2,2,1,1,1,1,1,2,1,"$22,904 ","23,039",38700,329.5,30,52.16
"130","MT",131,"Montana State University","$23,042 ","13,707","Bozeman","59717","www.montana.edu/",45.666726,-111.048812,"0.8287","Public","Town","1126",19441,1,2,1,1,2,1,1,2,1,1,1,1,"$23,042 ","13,707",41500,323.7,22,55.49
"131","VA",132,"Old Dominion University","$27,028 ","20,101","Norfolk","23529","www.odu.edu",36.886418,-76.30666,"0.8464","Public","City","1010",22806,0,0,0,2,2,2,1,1,2,2,2,1,"$27,028 ","20,101",42000,196.2,21,56.61
"132","OH",133,"Ashland University","$20,392 ","3,716","Ashland","44805","https://www.ashland.edu",40.861755,-82.321061,"0.7247","Private nonprofit","Town","1051",32390,0,1,0,1,1,0,1,1,1,1,2,1,"$20,392 ","3,716",37400,284.9,39,46.04
"133","TX",134,"Dallas Baptist University","$26,180 ","3,315","Dallas","75211-9299","https://www.dbu.edu",32.710017,-96.947006,"0.4311","Private nonprofit","City","1060",36371,0,1,0,1,1,0,1,1,2,2,2,2,"$26,180 ","3,315",43700,405.9,29,52.23
"134","IL",135,"Northern Illinois University","$23,799 ","15,027","Dekalb","60115-2828","www.niu.edu",41.933869,-88.766428,"0.5184","Public","Suburb","1030",28725,0,1,0,1,1,1,1,1,1,1,1,1,"$23,799 ","15,027",42400,370,25,52.6
"135","FL",136,"Nova Southeastern University","$27,660 ","4,641","Fort Lauderdale","33314-7796","www.nova.edu",26.079337,-80.24248,"0.5254","Private nonprofit","Suburb","1127",43351,0,1,0,1,2,1,1,0,1,1,2,1,"$27,660 ","4,641",49800,540.5,35,49.14
"136","IL",137,"Benedictine University","$32,170 ","3,347","Lisle","60532-0900","www.ben.edu",41.777569,-88.097307,"NULL","Private nonprofit","Suburb","NULL",38036,0,1,0,1,1,1,1,1,1,1,2,1,"$32,170 ","3,347",45600,370,25,52.6
"137","NC",138,"Gardner-Webb University","$29,850 ","2,615","Boiling Springs","28017-0997","www.gardner-webb.edu",35.24732,-81.668141,"0.5188","Private nonprofit","Town","987",41020,0,0,0,2,2,0,1,1,1,2,2,1,"$29,850 ","2,615",36100,329.5,30,52.16
"138","VA",139,"Shenandoah University","$31,322 ","2,010","Winchester","22601-5195","www.su.edu",39.166058,-78.158376,"0.8802","Private nonprofit","City","1009",44258,0,1,0,0,1,0,1,1,1,1,1,1,"$31,322 ","2,010",45800,196.2,21,56.61
"139","TN",140,"Tennessee Technological University","$24,800 ","9,801","Cookeville","38505-0001","www.tntech.edu",36.174659,-85.503957,"0.6721","Public","Town","1103",23109,1,1,0,1,2,1,1,1,1,1,1,1,"$24,800 ","9,801",39700,608.4,45,39.96
"140","MS",141,"University of Southern Mississippi","$16,094 ","11,840","Hattiesburg","39406-0001","www.usm.edu",31.32661,-89.331236,"0.6014","Public","City","1070",20469,0,0,1,1,2,1,1,1,1,1,2,1,"$16,094 ","11,840",36700,278.5,48,36.05
"141","UT",142,"Utah State University","$19,772 ","25,259","Logan","84322-1400","www.usu.edu",41.740748,-111.81391,"0.9025","Public","City","1087",18093,2,1,1,1,1,1,1,1,2,2,1,1,"$19,772 ","25,259",41200,215.6,1,71.02
