"","State","Rank","Name","Tuition.and.fees.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn","CrimeRate","HappyRank","HappyScore"
"148","OK",145,"Northwestern Oklahoma State University","$20,978 ","Alva","73717-2799","www.nwosu.edu",36.796658,-98.667673,"0.4377","Public","Town","970",14626,1,0,0,1,1,0,1,1,1,1,2,1,"$20,978 ","36600",406,44,41.36
"149","CA",146,"University of California-Berkeley","$39,944 ","Berkeley","94720","www.berkeley.edu",37.871918,-122.260463,"0.1693","Public","City","1422",34924,0,1,1,1,0,1,1,1,1,1,1,1,"$39,944 ","62500",396.1,10,59.96
"150","IL",147,"University of Illinois at Chicago","$26,526 ","Chicago","60607","www.uic.edu",41.871837,-87.650503,"0.7359","Public","City","1105",25131,0,0,1,1,1,1,1,1,1,1,2,1,"$26,526 ","51700",370,25,52.6
"151","MA",148,"University of Massachusetts-Lowell","$29,125 ","Lowell","01854-5104","www.uml.edu",42.652864,-71.326809,"0.6057","Public","Suburb","1172",26318,0,0,0,2,0,1,1,2,2,1,2,1,"$29,125 ","48600",391.4,16,57.42
"152","WA",149,"Seattle Pacific University","$38,940 ","Seattle","98119-1997","www.spu.edu",47.650214,-122.361667,"0.8728","Private nonprofit","City","1108",51149,0,0,0,1,1,1,1,1,1,1,1,1,"$38,940 ","44000",285.2,12,59.26
"153","RI",150,"University of Rhode Island","$28,852 ","Kingston","02881","web.uri.edu/",41.484691,-71.527356,"0.7276","Public","Suburb","1081",27552,1,1,1,1,1,1,1,1,1,1,1,1,"$28,852 ","49100",219.2,27,52.37
"154","AL",151,"University of Alabama at Birmingham","$17,654 ","Birmingham","35294-0110","www.uab.edu",33.505697,-86.799345,"0.5814","Public","City","1125",22684,0,0,0,1,1,1,1,1,1,1,2,1,"$17,654 ","42000",427.4,50,34.15
"155","MD",152,"University of Maryland-Baltimore County","$24,492 ","Baltimore","21250","umbc.edu",39.256686,-76.711607,"0.5683","Public","Suburb","1216",23818,0,1,0,1,1,1,1,1,1,1,1,1,"$24,492 ","49700",446.1,23,55.14
"156","FL",153,"University of North Florida","$17,325 ","Jacksonville","32224-7699","www.unf.edu",30.27194,-81.509144,"0.6453","Public","City","1110",20926,0,0,0,1,1,1,1,1,1,1,1,1,"$17,325 ","41500",540.5,35,49.14
"157","CA",154,"Biola University","$36,696 ","La Mirada","90639-0001","https://www.biola.edu",33.906203,-118.014374,"0.6485","Private nonprofit","Suburb","1093",48857,0,1,0,1,1,1,1,1,1,1,1,1,"$36,696 ","42700",396.1,10,59.96
"158","VA",155,"Virginia Commonwealth University","$31,608 ","Richmond","23284-2512","www.vcu.edu/",37.547631,-77.453597,"0.8115","Public","City","1094",29278,0,1,0,1,1,1,1,1,1,1,1,1,"$31,608 ","42300",196.2,21,56.61
"159","MO",156,"Maryville University of Saint Louis","$27,958 ","Saint Louis","63141-7299","www.maryville.edu",38.644774,-90.505998,"0.928","Private nonprofit","Suburb","1114",43804,0,1,0,1,1,1,1,1,1,1,2,1,"$27,958 ","45500",442.9,42,44.58
"160","MO",157,"Missouri University of Science and Technology","$26,152 ","Rolla","65409","www.mst.edu/",37.953426,-91.775583,"0.7933","Public","Town","1265",21698,0,0,0,1,0,1,1,1,1,1,1,1,"$26,152 ","61400",442.9,42,44.58
"161","MN",158,"Saint Johns University","$39,460 ","Collegeville","56321","www.csbsju.edu",45.580075,-94.393621,"0.8778","Private nonprofit","Rural","1134",52168,0,1,0,1,1,0,1,1,1,1,1,1,"$39,460 ","54800",229.1,2,69.09
"162","TN",159,"Union University","$30,420 ","Jackson","38305-3697","www.uu.edu",35.676896,-88.858524,"0.6257","Private nonprofit","City","1200",47458,0,0,0,1,1,1,1,1,1,1,2,1,"$30,420 ","42900",608.4,45,39.96
"163","WI",160,"Edgewood College","$27,530 ","Madison","53711-1997","www.edgewood.edu",43.057059,-89.422884,"0.7587","Private nonprofit","City","1069",39116,0,1,0,1,1,0,1,1,1,1,1,1,"$27,530 ","42600",290.3,15,57.8
"164","FL",161,"Florida Institute of Technology","$40,446 ","Melbourne","32901-6975","www.fit.edu",28.065815,-80.622893,"0.6133","Private nonprofit","City","1179",55984,0,1,0,1,1,1,1,1,1,0,1,0,"$40,446 ","50300",540.5,35,49.14
"165","ID",162,"University of Idaho","$22,040 ","Moscow","83844-2282","www.uidaho.edu",46.727406,-117.014167,"0.7589","Public","Town","1070",20045,1,1,1,1,1,1,1,1,1,1,1,2,"$22,040 ","39800",212.2,6,60.93
"166","KY",163,"University of Louisville","$24,626 ","Louisville","40292-0001","www.louisville.edu",38.216862,-85.760412,"0.7257","Public","City","1165",24768,0,0,0,0,1,1,1,1,1,1,1,1,"$24,626 ","41100",211.6,49,35.08
"167","WY",164,"University of Wyoming","$16,215 ","Laramie","82071","www.uwyo.edu",41.311773,-105.57931,"0.9508","Public","Town","1102",19169,1,1,0,1,1,1,1,1,1,1,1,1,"$16,215 ","47000",195.5,13,59.24
"168","IN",165,"Ball State University","$25,428 ","Muncie","47306","www.bsu.edu",40.203431,-85.409043,"0.6225","Public","City","1057",23157,0,1,1,1,1,1,1,1,1,1,2,1,"$25,428 ","37700",365.3,40,45.94
"169","TN",166,"Lipscomb University","$29,756 ","Nashville","37204-3951","www.lipscomb.edu",36.10469,-86.799304,"0.6085","Private nonprofit","City","1142",42170,0,1,0,1,1,1,1,1,1,1,2,1,"$29,756 ","41200",608.4,45,39.96
"170","MS",167,"Mississippi State University","$20,142 ","Mississippi State","39762","www.msstate.edu",33.454852,-88.790139,"0.5567","Public","Town","1125",22818,1,1,1,1,1,1,1,1,1,1,1,1,"$20,142 ","40600",278.5,48,36.05
"171","NJ",168,"Montclair State University","$20,318 ","Montclair","07043-1624","www.montclair.edu",40.860414,-74.198141,"0.6613","Public","Suburb","NULL",24885,0,0,0,1,1,0,1,1,1,1,1,1,"$20,318 ","44600",261.2,20,56.82
"172","TX",169,"Texas Tech University","$22,861 ","Lubbock","79409-5005","www.ttu.edu",33.583448,-101.874783,"0.626","Public","City","1117",22112,2,1,1,1,0,1,1,1,1,1,1,1,"$22,861 ","50600",405.9,29,52.23
"173","FL",170,"University of Central Florida","$22,467 ","Orlando","32816","www.ucf.edu/",28.602159,-81.200889,"0.4999","Public","Suburb","1179",21168,0,0,1,1,2,1,1,1,2,2,1,2,"$22,467 ","42800",540.5,35,49.14
"174","NM",171,"University of New Mexico-Gallup Campus","$21,302 ","Gallup","87301","www.gallup.unm.edu",35.502662,-108.727252,"NULL","Public","Rural","NULL",12891,0,0,0,0,0,0,0,0,0,0,0,0,"$21,302 ","37200",597.4,41,45.02
"175","MI",172,"Andrews University","$27,684 ","Berrien Springs","49104","www.andrews.edu",41.963859,-86.355815,"0.4042","Private nonprofit","Town","1127",36529,1,0,1,1,1,1,1,1,1,1,1,1,"$27,684 ","37200",427.3,43,44.17
"176","CA",173,"Azusa Pacific University","$36,120 ","Azusa","91702-7000","www.apu.edu",34.130047,-117.888375,"0.6146","Private nonprofit","Suburb","1035",48284,0,0,0,2,1,0,1,1,1,1,2,1,"$36,120 ","47600",396.1,10,59.96
"177","ME",174,"University of Maine","$29,498 ","Orono","04469","www.umaine.edu/",44.899257,-68.669332,"0.8975","Public","Suburb","1073",22904,1,1,0,1,1,1,1,1,1,2,1,1,"$29,498 ","41000",127.8,33,51.32
"178","WV",175,"West Virginia University","$21,432 ","Morgantown","26506","www.wvu.edu",39.634371,-79.954391,"0.7612","Public","City","1069",19512,1,1,1,1,1,1,1,1,1,1,1,1,"$21,432 ","44000",302,51,32.65
"179","PA",177,"Robert Morris University","$28,250 ","Moon Township","15108-1189","www.rmu.edu",40.520415,-80.210468,"0.7984","Private nonprofit","Suburb","1050",42015,0,1,0,1,2,1,1,1,2,2,2,1,"$28,250 ","44000",314.1,34,49.98
"180","MA",178,"Suffolk University","$35,578 ","Boston","02108-2770","www.suffolk.edu",42.358944,-71.061788,"0.8442","Private nonprofit","City","1020",48936,0,1,0,1,1,1,1,1,1,1,1,1,"$35,578 ","47900",391.4,16,57.42
"181","CT",179,"University of Hartford","$37,790 ","West Hartford","06117-1599","www.hartford.edu",41.798591,-72.715213,"0.7193","Private nonprofit","City","1046",51495,0,0,0,1,1,1,1,1,1,1,1,1,"$37,790 ","42000",236.9,17,57.04
"182","AL",180,"Athens State University","$18,376 ","Athens","35611","www.athens.edu",34.806793,-86.964698,"NULL","Public","Town","NULL",NA,0,0,0,2,2,0,1,1,1,1,2,1,"$18,376 ","37700",427.4,50,34.15
"183","ND",181,"North Dakota State University-Main Campus","$19,790 ","Fargo","58108-6050","https://www.ndsu.edu",46.893127,-96.800838,"0.928","Public","City","1091",19602,1,1,1,1,1,1,1,1,1,2,1,1,"$19,790 ","47500",265.1,3,67.95
"184","AL",182,"Alabama State University","$42,772 ","Montgomery","36104-0271","www.alasu.edu",32.364317,-86.295677,"0.459","Public","City","825",19242,0,0,0,1,1,1,1,1,2,1,1,1,"$42,772 ","25700",427.4,50,34.15
"185","TX",183,"University of Houston","$25,410 ","Houston","77204-2018","www.uh.edu/",29.720393,-95.343537,"0.5854","Public","City","1152",23858,0,1,1,1,0,1,1,1,1,1,1,1,"$25,410 ","51200",405.9,29,52.23
"186","MI",184,"Western Michigan University","$25,713 ","Kalamazoo","49008-5200","https://wmich.edu/",42.282194,-85.613759,"0.8231","Public","City","1030",23598,0,1,1,1,1,1,1,1,1,1,1,1,"$25,713 ","41600",427.3,43,44.17
"187","OH",185,"Bowling Green State University-Firelands","$18,332 ","Huron","44839-9791","www.firelands.bgsu.edu",41.397521,-82.594156,"NULL","Public","Rural","NULL",14572,0,0,0,0,0,0,0,0,0,0,0,0,"$18,332 ","37500",284.9,39,46.04
"188","MA",186,"Lesley University","$25,750 ","Cambridge","02138-2790","www.lesley.edu",42.38012,-71.117303,"0.6373","Private nonprofit","City","1064",40889,0,1,0,0,2,0,1,1,2,2,2,1,"$25,750 ","34800",391.4,16,57.42
"189","IN",187,"Indiana University-Purdue University-Indianapolis","$29,791 ","Indianapolis","46202-5143","www.iupui.edu",39.772948,-86.172217,"0.7397","Public","City","1025",20451,0,1,0,1,1,1,1,1,1,1,2,1,"$29,791 ","43000",365.3,40,45.94
"190","AL",188,"University of Alabama in Huntsville","$20,622 ","Huntsville","35899","www.uah.edu",34.724557,-86.640449,"0.7628","Public","City","1257",22059,0,0,0,1,1,1,1,1,1,1,1,1,"$20,622 ","44900",427.4,50,34.15
"191","CO",189,"University of Colorado Denver/Anschutz Medical Campus","$29,334 ","Denver","80217-3364","www.ucdenver.edu/",39.745149,-104.837722,"0.6052","Public","City","1077",20306,0,0,1,1,2,1,1,1,2,2,2,1,"$29,334 ","59900",309.1,5,61.59
"192","NV",190,"University of Nevada-Reno","$21,052 ","Reno","89557","www.unr.edu/",39.543642,-119.815377,"0.8281","Public","City","1088",20702,1,1,0,1,1,1,1,1,1,1,1,1,"$21,052 ","47300",635.6,36,48.23
"193","MI",191,"Central Michigan University","$23,670 ","Mount Pleasant","48859","https://www.cmich.edu",43.591203,-84.77525,"0.7156","Public","Town","1049",22778,0,1,0,1,1,1,1,1,2,2,2,1,"$23,670 ","38800",427.3,43,44.17
"194","LA",192,"Louisiana Tech University","$25,851 ","Ruston","71272","www.latech.edu",32.528297,-92.649963,"0.6319","Public","Town","1105",18954,1,1,1,1,1,1,1,1,1,1,2,1,"$25,851 ","42900",514.7,46,39.03
"195","SD",193,"South Dakota State University","$11,403 ","Brookings","57007-1898","https://www.sdstate.edu/",44.317485,-96.782139,"0.9076","Public","Town","1069",25761,1,1,1,1,2,1,1,1,1,2,1,1,"$11,403 ","43600",326.5,9,60.08
"196","ND",194,"University of North Dakota","$18,899 ","Grand Forks","58202-8193","und.edu",47.921654,-97.071738,"0.8369","Public","City","1090",19290,0,0,0,1,2,1,1,1,2,1,1,1,"$18,899 ","48400",265.1,3,67.95
"197","SD",195,"University of South Dakota","$11,688 ","Vermillion","57069-2390","WWW.USD.EDU",42.786019,-96.925283,"0.8813","Public","Town","1050",20806,0,0,0,1,1,0,1,1,1,1,1,1,"$11,688 ","41300",326.5,9,60.08
"198","CA",196,"California State University-Fullerton","$17,596 ","Fullerton","92831-3599","www.fullerton.edu",33.881506,-117.885446,"0.4823","Public","Suburb","1017",17049,0,0,0,1,1,1,1,1,1,2,2,1,"$17,596 ","43400",396.1,10,59.96
"199","AK",197,"University of Alaska Fairbanks","$22,469 ","Fairbanks","99775-7500","www.uaf.edu",64.85756,-147.823146,"0.7347","Public","Suburb","1060",16694,0,1,0,1,2,1,1,1,1,1,2,1,"$22,469 ","40200",635.8,28,52.23
"200","NC",198,"University of North Carolina at Charlotte","$20,193 ","Charlotte","28223-0001","www.uncc.edu",35.306022,-80.730919,"0.6203","Public","City","1112",19723,0,0,1,1,1,1,1,1,1,1,1,1,"$20,193 ","42300",329.5,30,52.16
"201","NC",199,"East Carolina University","$22,904 ","Greenville","27858-4353","www.ecu.edu",35.607186,-77.368291,"0.7034","Public","City","1040",20567,0,0,1,2,2,1,1,1,1,1,2,1,"$22,904 ","38700",329.5,30,52.16
"202","MT",200,"Montana State University","$23,042 ","Bozeman","59717","www.montana.edu/",45.666726,-111.048812,"0.8287","Public","Town","1126",19441,1,2,1,1,2,1,1,2,1,1,1,1,"$23,042 ","41500",323.7,22,55.49
"203","VA",201,"Old Dominion University","$27,028 ","Norfolk","23529","www.odu.edu",36.886418,-76.30666,"0.8464","Public","City","1010",22806,0,0,0,2,2,2,1,1,2,2,2,1,"$27,028 ","42000",196.2,21,56.61
"204","MO",202,"University of Missouri-Kansas City","$22,714 ","Kansas City","64110","www.umkc.edu/",39.034179,-94.582141,"0.6187","Public","City","1126",21575,0,1,1,1,1,1,1,1,1,1,1,1,"$22,714 ","47500",442.9,42,44.58
"205","OH",203,"Ashland University","$20,392 ","Ashland","44805","https://www.ashland.edu",40.861755,-82.321061,"0.7247","Private nonprofit","Town","1051",32390,0,1,0,1,1,0,1,1,1,1,2,1,"$20,392 ","37400",284.9,39,46.04
"206","TX",204,"Dallas Baptist University","$26,180 ","Dallas","75211-9299","https://www.dbu.edu",32.710017,-96.947006,"0.4311","Private nonprofit","City","1060",36371,0,1,0,1,1,0,1,1,2,2,2,2,"$26,180 ","43700",405.9,29,52.23
"207","IL",205,"Northern Illinois University","$23,799 ","Dekalb","60115-2828","www.niu.edu",41.933869,-88.766428,"0.5184","Public","Suburb","1030",28725,0,1,0,1,1,1,1,1,1,1,1,1,"$23,799 ","42400",370,25,52.6
"208","FL",206,"Nova Southeastern University","$27,660 ","Fort Lauderdale","33314-7796","www.nova.edu",26.079337,-80.24248,"0.5254","Private nonprofit","Suburb","1127",43351,0,1,0,1,2,1,1,0,1,1,2,1,"$27,660 ","49800",540.5,35,49.14
"209","IL",207,"Southern Illinois University-Carbondale","$27,130 ","Carbondale","62901-4512","www.siu.edu",37.714193,-89.217273,"0.7665","Public","City","1029",26868,1,1,1,2,1,1,1,1,1,1,2,1,"$27,130 ","42100",370,25,52.6
"210","AL",208,"University of Montevallo","$24,562 ","Montevallo","35115-6000","www.montevallo.edu",33.10625,-86.865099,"0.6542","Public","Suburb","1069",24599,0,0,0,0,1,0,1,1,1,1,1,1,"$24,562 ","30800",427.4,50,34.15
"211","IL",209,"Benedictine University","$32,170 ","Lisle","60532-0900","www.ben.edu",41.777569,-88.097307,"NULL","Private nonprofit","Suburb","NULL",38036,0,1,0,1,1,1,1,1,1,1,2,1,"$32,170 ","45600",370,25,52.6
"212","NC",210,"Gardner-Webb University","$29,850 ","Boiling Springs","28017-0997","www.gardner-webb.edu",35.24732,-81.668141,"0.5188","Private nonprofit","Town","987",41020,0,0,0,2,2,0,1,1,1,2,2,1,"$29,850 ","36100",329.5,30,52.16
"213","VA",211,"Shenandoah University","$31,322 ","Winchester","22601-5195","www.su.edu",39.166058,-78.158376,"0.8802","Private nonprofit","City","1009",44258,0,1,0,0,1,0,1,1,1,1,1,1,"$31,322 ","45800",196.2,21,56.61
"214","TN",212,"Tennessee Technological University","$24,800 ","Cookeville","38505-0001","www.tntech.edu",36.174659,-85.503957,"0.6721","Public","Town","1103",23109,1,1,0,1,2,1,1,1,1,1,1,1,"$24,800 ","39700",608.4,45,39.96
"215","MS",213,"University of Southern Mississippi","$16,094 ","Hattiesburg","39406-0001","www.usm.edu",31.32661,-89.331236,"0.6014","Public","City","1070",20469,0,0,1,1,2,1,1,1,1,1,2,1,"$16,094 ","36700",278.5,48,36.05
"216","UT",214,"Utah State University","$19,772 ","Logan","84322-1400","www.usu.edu",41.740748,-111.81391,"0.9025","Public","City","1087",18093,2,1,1,1,1,1,1,1,2,2,1,1,"$19,772 ","41200",215.6,1,71.02
"217","CA",215,"California State University-Fresno","$17,209 ","Fresno","93740","www.csufresno.edu",36.814477,-119.748258,"0.5354","Public","City","907",16078,1,1,0,1,1,1,1,1,1,1,1,1,"$17,209 ","39800",396.1,10,59.96
"218","NM",216,"New Mexico State University-Dona Ana","$21,234 ","Las Cruces","88011","dacc.nmsu.edu/",32.354486,-106.737172,"NULL","Public","Rural","NULL",10972,0,0,0,0,0,0,0,0,0,0,0,0,"$21,234 ","34000",597.4,41,45.02
"219","MA",217,"University of Massachusetts-Boston","$32,023 ","Boston","02125-3393","www.umb.edu",42.312881,-71.036865,"0.6852","Public","City","1073",21884,0,1,0,1,1,1,1,1,1,1,1,1,"$32,023 ","45000",391.4,16,57.42
"220","MA",218,"University of Massachusetts-Dartmouth","$19,270 ","North Dartmouth","02747-2300","www.umassd.edu",41.62869,-71.004552,"0.7602","Public","Suburb","1025",25410,0,0,0,1,1,1,1,1,1,2,2,1,"$19,270 ","42600",391.4,16,57.42
"221","MO",219,"University of Missouri-St Louis","$26,277 ","Saint Louis","63121-4400","www.umsl.edu/",38.710312,-90.311091,"0.7062","Public","Suburb","1101",22105,0,0,0,1,1,1,1,1,1,2,2,2,"$26,277 ","41100",442.9,42,44.58
"222","NC",220,"University of North Carolina at Greensboro","$21,595 ","Greensboro","27402-6170","www.uncg.edu",36.068236,-79.809414,"0.7393","Public","City","1054",18764,0,0,0,2,2,0,1,1,1,1,2,1,"$21,595 ","35200",329.5,30,52.16
